variable1,variable2,pearson_r,n_pairs,strength
cubiccapacity,kilowatts,0.49628192942254234,50000,moderate
cubiccapacity,capitaloutstanding,0.1788127410889307,50000,weak
cubiccapacity,suminsured,-0.013309164733485496,50000,weak
cubiccapacity,calculatedpremiumperterm,0.029074539074287125,50000,weak
cubiccapacity,totalpremium,0.030903395602245413,50000,weak
cubiccapacity,totalclaims,0.0018945523368623046,50000,weak
kilowatts,capitaloutstanding,-0.0109136766780732,50000,weak
kilowatts,suminsured,-0.007421963143534317,50000,weak
kilowatts,calculatedpremiumperterm,0.010209006080088004,50000,weak
kilowatts,totalpremium,0.008761026383005592,50000,weak
kilowatts,totalclaims,-0.004104769430424619,50000,weak
capitaloutstanding,suminsured,-0.018157304591380156,50000,weak
capitaloutstanding,calculatedpremiumperterm,0.09001269961982147,50000,weak
capitaloutstanding,totalpremium,0.08199795712424734,50000,weak
capitaloutstanding,totalclaims,0.0047863106335294045,50000,weak
suminsured,calculatedpremiumperterm,-0.10739781727519192,50000,weak
suminsured,totalpremium,-0.08569804767337436,50000,weak
suminsured,totalclaims,-0.006492760849455792,50000,weak
calculatedpremiumperterm,totalpremium,0.8186204736180667,50000,strong
calculatedpremiumperterm,totalclaims,0.07474599381612185,50000,weak
totalpremium,totalclaims,0.08593649063419842,50000,weak
