underwrittencoverid,policyid,transactionmonth,isvatregistered,citizenship,legaltype,title,language,bank,accounttype,maritalstatus,gender,country,province,postalcode,maincrestazone,subcrestazone,itemtype,mmcode,vehicletype,registrationyear,make,model,cylinders,cubiccapacity,kilowatts,bodytype,numberofdoors,vehicleintrodate,customvalueestimate,alarmimmobiliser,trackingdevice,capitaloutstanding,newvehicle,writtenoff,rebuilt,converted,crossborder,numberofvehiclesinfleet,suminsured,termfrequency,calculatedpremiumperterm,excessselected,covercategory,covertype,covergroup,section,product,statutoryclass,statutoryrisktype,totalpremium,totalclaims,margin
237441,20753,2015-06-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4057,Natal (Durban),Durban,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,356200.0,More than 6 months,No,No,No,No,,356200.0,Monthly,296.8321,No excess,Credit Protection,Credit Protection,Credit Protection,Credit Protection,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,260.379035087719,0.0,260.379035087719
154374,13912,2015-03-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4310,Natal,North Coast,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.6478,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.322631578947,0.0,2.322631578947
127337,9774,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002014,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,333000.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,5000000.0,Monthly,2.6931,No excess,Passenger Liability,Passenger Liability,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.362368421052,0.0,2.362368421052
211223,16319,2015-04-01,False,  ,Individual,Mr,English,ABSA Bank,Savings account,Not specified,Not specified,South Africa,Gauteng,1431,Rand East,Rand East,Mobility - Motor,60058407.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,2012-04-01,356300.0,Yes,Yes,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,110.0,No excess,Basic Excess Waiver (2015),Basic Excess Waiver,Basic Excess Waiver,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,96.491228070175,0.0,96.491228070175
132439,6912,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Limpopo,902,Transvaal (all except Pretoria),Transvaal North,Mobility - Motor,60058418.0,Passenger Vehicle,1970-01-01 00:00:00.000002009,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,2010-10-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,3500.0,Monthly,1.3508,No excess,Signage and Vehicle Wraps,Signage and Vehicle Wraps,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1.184912280701,0.0,1.184912280701
85517,6841,2014-12-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60056987.0,Passenger Vehicle,1970-01-01 00:00:00.000002007,TOYOTA,HiACE SIYAYA,4.0,2237.0,75.0,B/S,4.0,2001-08-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7500.0,Monthly,4.0413,No excess,Cleaning and Removal of Accident Debris,Cleaning and Removal of Accident Debris,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,3.545,0.0,3.545
92021,6641,2015-02-01,False,  ,Individual,Mr,English,ABSA Bank,Current account,Not specified,Male,South Africa,Gauteng,2000,Johannesburg,Johannesburg,Mobility - Motor,60056925.0,Passenger Vehicle,1970-01-01 00:00:00.000002006,TOYOTA,HiACE SUPER 16 F/Lift,4.0,2237.0,75.0,B/S,4.0,1992-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,5000.0,Monthly,2.4493,No excess,Keys and Alarms,Keys and Alarms,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,2.148508771929,0.0,2.148508771929
134326,11469,2015-02-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,3780,Natal,Natal 3,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,246800.0,More than 6 months,No,No,No,No,,246800.0,Monthly,205.6658,No excess,Credit Protection,Credit Protection,Credit Protection,Credit Protection,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,180.408596491228,0.0,180.408596491228
180899,13132,2015-08-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Northern Cape,8601,Cape Province,Vaalhartz,Mobility - Motor,60058419.0,Passenger Vehicle,1970-01-01 00:00:00.000002015,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,2012-04-01,220000.0,Yes,Yes,332800.0,More than 6 months,No,No,No,No,,50000.0,Monthly,125.0,No excess,Deposit Cover,Deposit Cover,Deposit Cover,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,109.649122807018,0.0,109.649122807018
211521,12861,2015-02-01,False,  ,Individual,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4011,Natal (Durban),Durban,Mobility - Motor,60056925.0,Passenger Vehicle,1970-01-01 00:00:00.000002003,TOYOTA,HiACE SUPER 16 F/Lift,4.0,2237.0,75.0,B/S,4.0,1992-11-01,220000.0,Yes,No,0.0,More than 6 months,No,No,No,No,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,71.898496240601,0.0,71.898496240601
