,underwrittencoverid,policyid,postalcode,mmcode,cylinders,cubiccapacity,kilowatts,numberofdoors,customvalueestimate,capitaloutstanding,numberofvehiclesinfleet,suminsured,calculatedpremiumperterm,totalpremium,totalclaims
underwrittencoverid,1.0,0.9413371267982543,0.23357330053304137,0.12201641159855124,-0.053959752189458095,0.12483523842661122,-0.012926690340159485,-0.047440442566178645,0.008961081249442698,0.24748225324134326,,0.007612722752417716,0.059828066606573256,0.07980886483154186,0.005190355223881196
policyid,0.9413371267982543,1.0,0.24205129497919103,0.09532484285318547,-0.05368999926286944,0.10475268732904786,-0.021373147845418675,-0.019434751604895755,0.009875031466065512,0.2875575869412788,,0.008326218169901367,0.06121439959901443,0.0725216076278335,0.006713766403214655
postalcode,0.23357330053304137,0.24205129497919103,1.0,0.13481004623465337,-0.04847699476339893,0.02964443552186022,-0.2098931087483485,-0.008111809660431714,-0.029735193956184177,0.20790365746995765,,0.005025760781506869,0.043829430406955555,0.04686206872963142,-0.0009044451135244152
mmcode,0.12201641159855124,0.09532484285318547,0.13481004623465337,1.0,-0.0740876999172671,0.38837470584123585,-0.028826980434416175,-0.024887511766792887,0.011010281154710786,0.09574918333490721,,-0.008291151564007436,0.01815342612638567,0.03744967571060786,0.002165162497166839
cylinders,-0.053959752189458095,-0.05368999926286944,-0.04847699476339893,-0.0740876999172671,1.0,0.3474423458017395,0.35464671189780766,-0.23437520767451933,-0.010137795685743684,-0.05336691882862784,,0.005400964601057089,-0.0028140178356167414,-0.0056412751020386565,-0.0028431546076448486
cubiccapacity,0.12483523842661122,0.10475268732904786,0.02964443552186022,0.38837470584123585,0.3474423458017395,1.0,0.49628192942254234,-0.16293615664324973,0.017432517740650584,0.1788127410889307,,-0.013309164733485496,0.029074539074287125,0.030903395602245413,0.0018945523368623046
kilowatts,-0.012926690340159485,-0.021373147845418675,-0.2098931087483485,-0.028826980434416175,0.35464671189780766,0.49628192942254234,1.0,0.028011939096692542,0.018475283728473027,-0.0109136766780732,,-0.007421963143534317,0.010209006080088004,0.008761026383005592,-0.004104769430424619
numberofdoors,-0.047440442566178645,-0.019434751604895755,-0.008111809660431714,-0.024887511766792887,-0.23437520767451933,-0.16293615664324973,0.028011939096692542,1.0,0.0038544498486569614,0.044532331432357034,,-0.004248203312078671,-0.0013235404546109233,-0.0016271922087437074,-0.00039711469152023
customvalueestimate,0.008961081249442698,0.009875031466065512,-0.029735193956184177,0.011010281154710786,-0.010137795685743684,0.017432517740650584,0.018475283728473027,0.0038544498486569614,1.0,0.053586632689298974,,-0.0006818645323048778,0.005968016260609893,0.011903430296333882,-0.0008055351893227381
capitaloutstanding,0.24748225324134326,0.2875575869412788,0.20790365746995765,0.09574918333490721,-0.05336691882862784,0.1788127410889307,-0.0109136766780732,0.044532331432357034,0.053586632689298974,1.0,,-0.018157304591380156,0.09001269961982147,0.08199795712424734,0.0047863106335294045
numberofvehiclesinfleet,,,,,,,,,,,,,,,
suminsured,0.007612722752417716,0.008326218169901367,0.005025760781506869,-0.008291151564007436,0.005400964601057089,-0.013309164733485496,-0.007421963143534317,-0.004248203312078671,-0.0006818645323048778,-0.018157304591380156,,1.0,-0.10739781727519192,-0.08569804767337436,-0.006492760849455792
calculatedpremiumperterm,0.059828066606573256,0.06121439959901443,0.043829430406955555,0.01815342612638567,-0.0028140178356167414,0.029074539074287125,0.010209006080088004,-0.0013235404546109233,0.005968016260609893,0.09001269961982147,,-0.10739781727519192,1.0,0.8186204736180667,0.07474599381612185
totalpremium,0.07980886483154186,0.0725216076278335,0.04686206872963142,0.03744967571060786,-0.0056412751020386565,0.030903395602245413,0.008761026383005592,-0.0016271922087437074,0.011903430296333882,0.08199795712424734,,-0.08569804767337436,0.8186204736180667,1.0,0.08593649063419842
totalclaims,0.005190355223881196,0.006713766403214655,-0.0009044451135244152,0.002165162497166839,-0.0028431546076448486,0.0018945523368623046,-0.004104769430424619,-0.00039711469152023,-0.0008055351893227381,0.0047863106335294045,,-0.006492760849455792,0.07474599381612185,0.08593649063419842,1.0
